id,priority,workstream,failure_mode,current_evidence,required_solution,acceptance_gate,owner_role,status
AG-01,P0,Credentials,Exposed GitHub or provider credential reused,Credential present in task history,Rotate and revoke old keys with least privilege and review access logs,Old credential fails and replacement works without being logged,Founder or security owner,OPEN
AG-02,P0,Product scope,Launch promises a live AI assistant while demo gateway is active,overlay/server.py forces KAIRO_GATEWAY_TEST_MODE=true,Choose Rust writing preview or deterministic document overlay and label modes explicitly,Real configured model completes consented end-to-end tasks on target hardware,Founder and runtime owner,OPEN
AG-03,P0,Document intake,PDF binary bytes passed off as extracted text,Three new tests failed on baseline,Local pdfplumber parsing and explicit failure for invalid/image-only PDF,Real compressed PDF extracts expected text and valid boxes; malformed PDF is rejected,Backend owner,FIXED_IN_PR_22
AG-04,P0,Document intake,DOCX parser absent or malformed container silently mishandled,Missing parser regression reproduced; malformed DOCX returned 500,Fail closed with parser error and map invalid format to 422,Missing parser raises explicit error; malformed DOCX API request returns 422,Backend owner,FIXED_IN_PR_22
AG-05,P0,Container validation,Healthy text demo hides missing PDF/DOCX dependencies,Old image installed only API stack and tested no authenticated document extraction,Include document readers and execute authenticated real-file CI inside exact image,Read-only non-root image passes actual PDF and DOCX extraction and clean shutdown,Release owner,FIXED_IN_PR_22
AG-06,P0,Tenant isolation,Valid key accesses another tenant's files,Allowed roots are shared repository and system temporary directory,Use single-tenant deployment until isolated per-tenant roots and authorization exist,Cross-tenant paths receipts caches and source images denied under concurrent tests,Security owner,OPEN
AG-07,P0,Resource containment,Small compressed file exhausts memory or parser CPU,HTTP byte cap does not bound expanded parser work,Expanded-byte/page limits and killable isolated worker with deadline,Zip/PDF bomb and hung-parser tests stay within measured memory and shutdown budgets,Backend and SRE owners,FIXED_IN_PR_23
AG-08,P0,Billing,Replica retries exceed advertised spend cap,SpendGovernor is process-local with estimated reservations and possible actual overshoot,Provider-side hard budget plus durable shared per-attempt ledger and idempotency,Concurrent multi-replica restart/retry tests reconcile all charged usage within policy,Billing owner,PARTIAL_IN_PR_23 (durable shared ledger; provider-side cap still required)
AG-09,P0,Readiness,Pod remains ready after dependency failure,Readiness permanently caches successful synthetic text probe,Bounded periodic dependency checks with failure recovery and startup separation,Failure removes pod from routing and recovery restores it without probe stampede,SRE owner,FIXED_IN_PR_23
AG-10,P0,Citations,Grounded field source link does not resolve to registered authorized source,Returned IDs and source navigation need end-to-end qualification; PDF boxes are page-level,Bind registered document version to receipt and authorized resolver,Every emitted source link resolves to correct immutable document and verified anchor,Backend and QA owners,OPEN
AG-11,P0,Privacy,Local-first claim hides model or telemetry network access,No independent production egress observation in this run,Document explicit network policy and observe runtime plus model and telemetry traffic,Air-gap test denies prohibited egress and stores reproducible network evidence,Security owner,OPEN
AG-12,P0,Distribution,Installation or rollback fails for real customers,No signing identity native target hardware or deployment credentials provided,Signed artifacts SBOM checksums upgrade uninstall and rollback qualification,Clean-machine target-platform matrix passes and artifacts are verified,Release owner,OPEN
AG-13,P1,Dependencies,Dependency file called locked has floating transitive resolution,Direct pins only; clean isolated venv passed,Hash-locked complete supported-platform dependency closure and vulnerability review,Two independent cold builds resolve identical reviewed artifacts,Release owner,OPEN
AG-14,P1,Onboarding,Quickstart starts wrong command,make run requires DOC and Q instead of serving API,Add make serve and correct focused runtime install instructions,Fresh venv starts loopback API with documented command,Developer experience owner,FIXED_IN_PR_22
AG-15,P1,Regression gates,Local pre-push omits concurrency and corpus checks,Pre-push omitted these suites,Add concurrency and both corpus suites,Local strict gate executes all listed suites and detects intentional regressions,QA owner,FIXED_IN_PR_22
AG-16,P1,Model assets,Repeated handoffs claim absent model and regenerate correct corpus,Actual vendored weights load locally to shape 1x256 and corpus tests pass,Preserve verified assets and corpus; qualify offline semantic suite separately,Local-only load and unchanged fingerprint remain green,ML owner,VERIFIED_NOT_A_CURRENT_BLOCKER
AG-17,P0,Quality,Fixture F1 mistaken for customer usefulness,Small memo fixtures score highly but no user study performed,Consent-based held-out document set and blinded human review,Correctness refusal quality correction burden and source verification meet predeclared thresholds,Product and QA owners,OPEN
AG-18,P0,Market,General assistant loses to stronger foundation models,No traction or willingness-to-pay evidence provided,Focus on verifiable private document review with measurable review-time savings,Five to ten partners demonstrate repeat use and paid willingness before scaling,Founder,OPEN
AG-19,P0,Automation,Unsafe ghost typing or app insertion enabled prematurely,Repository launch gates explicitly disable insertion,Keep disabled until target-bound approval revalidation and undo are qualified,Native race replay focus-change permission and Unicode matrix passes,Desktop owner,OPEN
AG-20,P1,Launch operations,Fixed date overrides evidence,No production deployment or rollback drill performed,September 16 internal go/no-go and September 17 gated partner checkpoint,Exact release SHA green plus approved operational security and usefulness gates,Founder and release owner,OPEN
